0.470001, 0.192416, 0.540897
0.600885, 0.258497, 0.433106
0.529287, 0.300127, 0.546694
0.630367, 0.233186, 0.503237
0.602954, 0.176575, 0.428554
0.62709, 0.283352, 0.408222
0.531347, 0.181969, 0.486798
0.645742, 0.266898, 0.57887
0.658916, 0.255847, 0.42794
0.595404, 0.236759, 0.541959
0.688205, 0.295461, 0.458591
0.541512, 0.315588, 0.451589
0.645966, 0.296255, 0.587374
0.528454, 0.210836, 0.577208
0.654113, 0.299055, 0.528334
0.545232, 0.282059, 0.5875
0.541812, 0.241288, 0.557809
0.546437, 0.209497, 0.463985
0.527482, 0.197995, 0.497843
0.700888, 0.31893, 0.424772
0.652391, 0.255388, 0.502548
0.603265, 0.352299, 0.498275
0.512583, 0.185698, 0.571642
0.501223, 0.256743, 0.467283
0.593336, 0.342514, 0.50602
0.629231, 0.333006, 0.416324
0.663694, 0.297618, 0.556369
0.490058, 0.173871, 0.530153
0.672958, 0.274595, 0.541665
0.6692, 0.335787, 0.565428
0.509276, 0.221166, 0.47487
0.618446, 0.269193, 0.573206
0.609341, 0.321547, 0.451619
0.56464, 0.266683, 0.489574
0.515954, 0.200481, 0.444595
0.637659, 0.305595, 0.415611
0.611922, 0.251325, 0.588177
0.649941, 0.260741, 0.571398
0.642879, 0.312108, 0.438024
0.583068, 0.301186, 0.417003
0.48558, 0.216596, 0.41994
0.536287, 0.175328, 0.533571
0.620064, 0.209313, 0.448943
0.598755, 0.334449, 0.532588
0.550784, 0.305372, 0.465512
0.586813, 0.252348, 0.422898
0.633032, 0.318942, 0.517563
0.679127, 0.261067, 0.439319
0.650498, 0.236375, 0.438714
0.560384, 0.211405, 0.498162
0.626765, 0.33684, 0.429221
0.504234, 0.222803, 0.522188
0.540044, 0.296379, 0.535123
0.598492, 0.210504, 0.496229
0.53229, 0.204498, 0.42454
0.643704, 0.239133, 0.436803
0.645277, 0.236527, 0.436464
0.611704, 0.185628, 0.445952
0.487813, 0.231116, 0.455501
0.559946, 0.327852, 0.486763
0.562938, 0.243705, 0.566311
0.685823, 0.277369, 0.450343
